Country/Region	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	7	7	7	11	16	21	22	22	22	24	24	40	40	74	84	94	110	110	120	170	174	237	273	281	299	349	367	423	444	484	521	555	607	665	714	784	840	906	933	996	1026	1092	1176	1279	1351	1463
Australia	0	0	0	0	4	5	5	6	9	9	12	12	12	13	13	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	27	30	39	52	55	60	63	76	91	107	128	128	200	250	297	377	452	568	681	791	1071	1549	1682	2044	2364	2810	3143	3640	3984	4361	4559	4862	5116	5330	5550	5687	5797	5895	6010	6108	6215	6303	6315	6351	6415	6440	6462	6522	6568	6610	6623	6645	6652	6662	6677	6694
Canada	0	0	0	0	1	1	2	2	2	4	4	4	4	4	5	5	7	7	7	7	7	7	7	7	7	7	8	8	8	8	9	9	9	10	11	11	13	14	20	24	27	30	33	37	49	54	64	77	79	108	117	193	198	252	415	478	657	800	943	1277	1469	2088	2790	3251	4038	4678	5571	6275	7393	8521	9553	11276	12429	12968	15746	16552	17860	19129	20642	22046	23303	24286	25667	27022	28196	30796	32801	34342	35619	37642	39386	41633	43269	44038	45475
China	548	643	920	1406	2075	2877	5509	6087	8141	9802	11891	16630	19716	23707	27440	30587	34110	36814	39829	42354	44386	44759	59895	66358	68413	70513	72434	74211	74619	75077	75550	77001	77022	77241	77754	78166	78600	78928	79356	79932	80136	80261	80386	80537	80690	80770	80823	80860	80887	80921	80932	80945	80977	81003	81033	81058	81102	81156	81250	81305	81435	81498	81591	81661	81782	81897	81999	82122	82198	82279	82361	82432	82511	82543	82602	82665	82718	82809	82883	82941	83014	83134	83213	83306	83356	83403	83760	83787	83805	83817	83853	83868	83884	83899	83909
France	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	10	10	10	10	12	12	20	27	33	50	63	81	99	146	181	225	267	318	367	396	438	530	534	620	699	760	824	864	895	933	952	995	1008	1031	1061	1072	1078	1095	1107	1111	1130	1160	1179	1202	1204	1246	1264	1276	1315	1351
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	6	11	26	34	43	50	50	58	69	85	103	134	156	171	180	220	250	330	409	473	568	588	648	737	802	890	963	1020	1086	1135	1220	1319	1364	1417	1486	1562	1586	1616	1648	1675	1689	1701	1711	1720	1727	1739	1754	1760	1771	1773	1778	1785	1789	1789	1790
India	0	0	0	0	0	0	0	0	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	28	30	31	34	39	43	56	62	73	82	102	113	119	142	156	194	244	330	396	499	536	657	727	887	987	1024	1251	1397	1998	2543	2567	3082	3588	4778	5311	5916	6725	7598	8446	9205	10453	11487	12322	13430	14352	15722	17615	18539	20080	21370	23077	24530	26283
Indonesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	4	4	6	19	27	34	34	69	96	117	134	172	227	311	369	450	514	579	686	790	893	1046	1155	1285	1414	1528	1677	1790	1986	2092	2273	2491	2738	2956	3293	3512	3842	4241	4557	4839	5136	5516	5923	6248	6575	6760	7135	7418	7775	8211	8607
Iran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	18	28	43	61	95	139	245	388	593	978	1501	2336	2922	3513	4747	5823	6566	7161	8042	9000	10075	11364	12729	13938	14991	16169	17361	18407	19644	20610	21638	23049	24811	27017	29406	32332	35408	38309	41495	44605	47593	50468	53183	55743	58226	60500	62589	64586	66220	68192	70029	71686	73303	74877	76389	77995	79494	80868	82211	83505	84802	85996	87026	88194	89328
Iraq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	7	7	13	19	26	32	35	35	40	54	60	60	71	71	71	101	110	116	124	154	164	192	208	214	233	266	316	346	382	458	506	547	630	694	728	772	820	878	961	1031	1122	1202	1232	1279	1318	1352	1378	1400	1415	1434	1482	1513	1539	1574	1602	1631	1677	1708	1763
Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	6	6	18	18	19	21	34	43	43	90	129	129	169	223	292	557	683	785	906	1125	1329	1564	1819	2121	2415	2615	2910	3235	3447	3849	4273	4604	4994	5364	5709	6074	6574	8089	8928	9655	10647	11479	12547	13271	13980	14758	15251	15652	16040	16671	17607	18184	18561
Italy	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	20	62	155	229	322	453	655	888	1128	1694	2036	2502	3089	3858	4636	5883	7375	9172	10149	12462	12462	17660	21157	24747	27980	31506	35713	41035	47021	53578	59138	63927	69176	74386	80589	86498	92472	97689	101739	105792	110574	115242	119827	124632	128948	132547	135586	139422	143626	147577	152271	156363	159516	162488	165155	168941	172434	175925	178972	181228	183957	187327	189973	192994	195351
Japan	2	2	2	2	4	4	7	7	11	15	20	20	20	22	22	22	25	25	26	26	26	28	28	29	43	59	66	74	84	94	105	122	147	159	170	189	214	228	241	256	274	293	331	360	420	461	502	511	581	639	639	701	773	839	839	878	889	924	963	1007	1101	1128	1193	1307	1387	1468	1693	1866	1866	1953	2178	2495	2617	3139	3139	3654	3906	4257	4667	5530	6005	6748	7370	7645	8100	8626	9787	10296	10797	10797	11135	11512	12368	12829	13231
South Korea	1	1	2	2	3	4	4	4	4	11	12	15	15	16	19	23	24	24	25	27	28	28	28	28	28	29	30	31	31	104	204	433	602	833	977	1261	1766	2337	3150	3736	4335	5186	5621	6088	6593	7041	7314	7478	7513	7755	7869	7979	8086	8162	8236	8320	8413	8565	8652	8799	8961	8961	9037	9137	9241	9332	9478	9583	9661	9786	9887	9976	10062	10156	10237	10284	10331	10384	10423	10450	10480	10512	10537	10564	10591	10613	10635	10653	10661	10674	10683	10694	10708	10718	10728
Pakistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	4	4	4	5	5	5	6	6	6	6	16	19	20	28	31	53	136	236	299	454	501	730	776	875	972	1063	1201	1373	1495	1597	1717	1938	2118	2421	2686	2818	3157	3766	4035	4263	4489	4695	5011	5230	5496	5837	6383	6919	7025	7638	8348	8418	9565	10076	11155	11940	12723
